REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1992,Ontario,139247.0,21891.0,-27161.0
1992,Prince Edward Island,151.0,77.0,14.0
1992,Quebec,48838.0,7799.0,-3617.0
1992,Saskatchewan,2529.0,1059.0,-138.0
1992,Yukon,135.0,74.0,-20.0
1993,Alberta,18578.0,6695.0,-3727.0
1993,British Columbia,45969.0,6873.0,-4417.0
1993,Manitoba,4860.0,1710.0,-424.0
1993,New Brunswick,708.0,564.0,-112.0
1993,Newfoundland and Labrador,803.0,192.0,-1626.0
1993,Northwest Territories,139.0,44.0,-23.0
1993,Nova Scotia,3022.0,646.0,-245.0
1993,Nunavut,36.0,15.0,-3.0
1993,Ontario,134996.0,24787.0,-42617.0
1993,Prince Edward Island,163.0,51.0,31.0
1993,Quebec,44977.0,7983.0,-9803.0
1993,Saskatchewan,2398.0,1054.0,-283.0
1993,Yukon,105.0,43.0,-43.0
1994,Alberta,18021.0,7031.0,-1838.0
1994,British Columbia,49146.0,6642.0,163.0
1994,Manitoba,4137.0,1740.0,-230.0
1994,New Brunswick,627.0,542.0,-208.0
1994,Newfoundland and Labrador,565.0,248.0,-1158.0
1994,Northwest Territories,135.0,30.0,-35.0
1994,Nova Scotia,3471.0,882.0,-408.0
1994,Nunavut,24.0,3.0,-7.0
1994,Ontario,117635.0,27892.0,-12204.0
1994,Prince Edward Island,162.0,67.0,13.0
1994,Quebec,28094.0,9527.0,-342.0
1994,Saskatchewan,2260.0,1051.0,-238.0
1994,Yukon,118.0,27.0,-8.0
1995,Alberta,14360.0,6280.0,707.0
1995,British Columbia,44603.0,6075.0,5116.0
1995,Manitoba,3605.0,1422.0,-127.0
1995,New Brunswick,644.0,420.0,-11.0
1995,Newfoundland and Labrador,575.0,218.0,-789.0
1995,Northwest Territories,108.0,42.0,4.0
1995,Nova Scotia,3589.0,921.0,-74.0
1995,Nunavut,10.0,5.0,0.0
1995,Ontario,115944.0,25691.0,-10231.0
1995,Prince Edward Island,166.0,46.0,66.0
1995,Quebec,27228.0,9028.0,5279.0
1995,Saskatchewan,1949.0,1043.0,206.0
1995,Yukon,94.0,61.0,23.0
1996,Alberta,13889.0,5797.0,1056.0
1996,British Columbia,52025.0,7598.0,3190.0
1996,Manitoba,3928.0,1401.0,-255.0
1996,New Brunswick,718.0,222.0,-111.0
1996,Newfoundland and Labrador,585.0,186.0,-411.0
1996,Northwest Territories,87.0,41.0,30.0
1996,Nova Scotia,3225.0,765.0,-41.0
1996,Nunavut,12.0,15.0,6.0
1996,Ontario,119719.0,23862.0,-12233.0
1996,Prince Edward Island,154.0,19.0,77.0
1996,Quebec,29806.0,8871.0,-1142.0
1996,Saskatchewan,1819.0,1031.0,164.0
1996,Yukon,94.0,33.0,3.0
1997,Alberta,12833.0,7385.0,1704.0
1997,British Columbia,47848.0,11447.0,1917.0
1997,Manitoba,3715.0,1834.0,258.0
1997,New Brunswick,663.0,406.0,129.0
1997,Newfoundland and Labrador,418.0,300.0,-83.0
1997,Northwest Territories,82.0,47.0,17.0
1997,Nova Scotia,2837.0,942.0,271.0
1997,Nunavut,18.0,26.0,5.0
1997,Ontario,117716.0,27917.0,-2040.0
1997,Prince Edward Island,145.0,59.0,-106.0
